Parametros	ph	Conductividad	Turbidez	Coliformes
Fuente_1	6.00	100.00		1.00		0.00
Fuente_2	7.20	158.00		0.00		0.00
Fuente_3	6.95	269.00		0.00		0.00
Fuente_4	7.75	239.00		0.00		0.00
Fuente_5	7.04	194.00		0.00		0.00
Fuente_6	6.66	163.00		0.00		0.00
Fuente_7	7.46	281.00		5.00		1.00
Fuente_8	7.56	161.00		3.00		1.00
Fuente_9	7.42	121.00		2.00		0.00
Fuente_10	7.83	103.00		0.00		0.00
Fuente_11	7.46	200.00		0.00		0.00
Fuente_12	7.46	214.00		0.00		0.00
Fuente_13	7.35	116.00		0.00		0.00
Fuente_14	6.94	117.00		1.00		1.00
Fuente_15	6.83	112.00		1.00		0.00
Fuente_16	6.92	108.00		1.00		0.00
Fuente_17	7.38	203.00		10.00		2.00
Fuente_18	7.47	269.00		5.00		1.00
Fuente_19	7.67	244.00		4.00		1.00
Fuente_20	7.39	219.00		0.00		0.00
Fuente_21	7.29	201.00		0.00		0.00
Fuente_22	7.49	121.00		0.00		0.00
Fuente_23	6.59	141.00		1.00		0.00
Fuente_24	7.49	166.00		0.00		0.00
Fuente_25	7.37	173.00		0.00		0.00
Fuente_26	7.16	170.30		1.80		0.00
Fuente_27	7.46	170.00		1.80		0.00
Fuente_28	7.35	169.00		1.80		0.00
Fuente_29	6.94	169.00		1.90		0.00
Fuente_30	6.83	169.00		1.90		0.00
Fuente_31	6.92	168.00		1.90		0.00
Fuente_32	7.38	168.00		1.90		0.00
Fuente_33	7.47	167.00		2.00		0.00
Fuente_34	7.67	167.00		2.00		0.00
Fuente_35	7.39	167.00		2.00		0.00
Fuente_36	7.29	166.00		2.10		0.00
Fuente_37	7.49	166.00		2.10		0.00
Fuente_38	6.60	165.00		2.10		0.00
Fuente_39	7.25	165.00		2.20		0.00
Fuente_40	7.13	164.00		2.20		0.00
Fuente_41	7.16	164.00		2.20		0.00
Fuente_42	7.49	164.00		2.30		0.00
Fuente_43	7.38	163.00		2.30		0.00
Fuente_44	6.94	163.00		2.30		0.00
Fuente_45	6.83	162.00		2.30		1.00
Fuente_46	6.92	162.00		2.40		1.00
Fuente_47	7.38	162.00		2.40		1.00
Fuente_48	7.47	161.00		2.40		1.00
Fuente_49	7.67	161.00		2.50		1.00
Fuente_50	7.39	160.00		2.50		1.00
Fuente_51	7.29	160.00		2.50		1.00
Fuente_52	7.49	159.00		2.60		1.00
Fuente_53	6.61	159.00		2.60		1.00
Fuente_54	7.10	159.00		2.60		1.00
Fuente_55	7.11	158.00		2.70		1.00
Fuente_56	7.16	158.00		2.70		1.00
Fuente_57	7.49	157.00		2.70		1.00
Fuente_58	7.35	157.00		2.70		1.00
Fuente_59	6.94	157.00		2.80		1.00
Fuente_60	6.83	156.00		2.80		1.00
Fuente_61	6.92	156.00		2.80		1.00
Fuente_62	7.38	155.00		2.90		1.00
Fuente_63	7.47	155.00		2.90		1.00
Fuente_64	7.67	154.00		2.90		1.00
Fuente_65	7.39	154.00		3.00		1.00
Fuente_66	7.29	154.00		3.00		1.00
Fuente_67	7.49	153.00		3.00		1.00
Fuente_68	6.62	153.00		3.10		1.00
Fuente_69	7.23	152.00		3.10		1.00
Fuente_70	7.35	152.00		3.10		1.00
Fuente_71	7.16	152.00		3.10		1.00
Fuente_72	7.46	151.00		3.20		1.00
Fuente_73	7.35	151.00		3.20		1.00
Fuente_74	6.94	150.00		3.20		1.00
Fuente_75	6.83	150.00		3.30		1.00
Fuente_76	6.92	149.00		3.30		1.00
Fuente_77	7.29	149.00		3.30		1.00
Fuente_78	7.47	149.00		3.40		1.00
Fuente_79	7.67	148.00		3.40		1.00
Fuente_80	7.39	148.00		3.40		1.00
