Parametros	ph	Conductividad	Turbidez	Coliformes
Fuente_1	6.83	156	2.8	0.6
Fuente_2	6.92	156	2.8	0.6
Fuente_3	7.38	155	2.9	0.6
Fuente_4	7.47	155	2.9	0.6
Fuente_5	7.67	154	2.9	0.6
Fuente_6	7.39	154	3	0.6
Fuente_7	7.29	154	3	0.6
Fuente_8	7.49	153	3	0.7
Fuente_9	6.62	153	3.1	0.7
Fuente_10	7.23	152	3.1	0.7
Fuente_11	7.35	152	3.1	0.7
Fuente_12	7.16	152	3.1	0.7
Fuente_13	7.46	151	3.2	0.7
Fuente_14	7.35	151	3.2	0.7
Fuente_15	6.94	150	3.2	0.7
Fuente_16	6.83	150	3.3	0.7
Fuente_17	6.92	149	3.3	0.7
Fuente_18	7.29	149	3.3	0.7
Fuente_19	7.47	149	3.4	0.7
Fuente_20	7.67	148	3.4	0.7
Fuente_21	6.92	148	3.4	0.7
Fuente_22	7.19	147	3.45	0.8
Fuente_23	7.19	147	3.47	0.8
Fuente_24	7.18	147	3.5	0.8
Fuente_25	7.18	146	3.53	0.8
Fuente_26	7.18	146	3.56	0.8
Fuente_27	7.17	145	3.59	0.8
Fuente_28	7.17	145	3.62	0.8
Fuente_29	7.17	144	3.65	0.8
Fuente_30	7.17	144	3.68	0.8
Fuente_31	7.16	144	3.71	0.8
Fuente_32	7.16	143	3.74	0.8
Fuente_33	7.16	143	3.77	0.8
Fuente_34	7.16	142	3.8	0.8
Fuente_35	7.15	142	3.83	0.8
Fuente_36	7.15	142	3.86	0.8
Fuente_37	7.15	141	3.89	0.9
Fuente_38	7.14	141	3.92	0.9
Fuente_39	7.14	140	3.95	0.9
Fuente_40	7.14	140	3.98	0.9
Fuente_41	7.14	139	4.01	0.9
Fuente_42	7.13	139	4.04	0.9
Fuente_43	7.13	139	4.07	0.9
Fuente_44	7.13	138	4.1	0.9
Fuente_45	7.13	138	4.12	0.9
Fuente_46	7.12	137	4.15	0.9
Fuente_47	7.12	137	4.18	0.9
Fuente_48	7.12	136	4.21	0.9
Fuente_49	7.12	136	4.24	0.9
Fuente_50	7.11	136	4.27	0.9
