Parametros	ph	Conductividad	Turbidez	Coliformes
Fuente_1	6.00	100.00	1.00	0.00
Fuente_2	7.20	158.00	0.00	0.00
Fuente_3	6.95	269.00	0.00	0.00
Fuente_4	7.75	239.00	0.00	0.00
Fuente_5	7.04	194.00	0.00	0.00
Fuente_6	6.66	163.00	0.00	0.00
Fuente_7	7.46	281.00	5.00	1.00
Fuente_8	7.56	161.00	3.00	1.00
Fuente_9	7.94	121.00	2.00	0.00
Fuente_10	7.83	103.00	0.00	0.00
Fuente_11	7.16	200.00	0.00	0.00
Fuente_12	7.46	214.00	0.00	0.00
Fuente_13	7.35	116.00	0.00	0.00
Fuente_14	6.94	117.00	1.00	1.00
Fuente_15	6.83	112.00	1.00	0.00
Fuente_16	6.92	108.00	1.00	0.00
Fuente_17	7.38	203.00	10.00	2.00
Fuente_18	7.47	269.00	5.00	1.00
Fuente_19	7.67	244.00	4.00	1.00
Fuente_20	7.39	219.00	0.00	0.00
Fuente_21	7.29	201.00	0.00	0.00
Fuente_22	7.49	121.00	0.00	0.00
Fuente_23	6.59	141.00	1.00	0.00
Fuente_24	7.49	166.00	0.00	0.00
Fuente_25	7.37	173.00	0.00	0.00
